gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size,compute_index,memory_pressure_ratio,perf_per_watt,transistor_density,log_transistors,expected_log_transistors,moore_deviation
graphics ultra pro isa,2024.0,480.0,80.0,1250.0,50.0,29.0,700.0,90.0,600000.0,7407.407407407408,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
graphics vantage,2024.0,480.0,40.0,1250.0,50.0,29.0,800.0,90.0,600000.0,14634.146341463415,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
graphics wonder pci,2024.0,480.0,80.0,1250.0,50.0,29.0,700.0,90.0,600000.0,7407.407407407408,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
graphics wonder vlb,2024.0,480.0,80.0,1250.0,50.0,29.0,700.0,90.0,600000.0,7407.407407407408,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
vga wonder xl24,2024.0,480.0,40.0,1250.0,50.0,29.0,800.0,90.0,600000.0,14634.146341463415,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
graphics ultra pro pci,2024.0,480.0,664.0,1250.0,50.0,29.0,700.0,90.0,600000.0,902.2556390977444,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
graphics ultra pro vlb,2024.0,480.0,80.0,1250.0,50.0,29.0,700.0,90.0,600000.0,7407.407407407408,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
graphics ultra xlr vlb,2024.0,480.0,80.0,1250.0,50.0,29.0,700.0,90.0,600000.0,7407.407407407408,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
playstation gpu 600nm,2024.0,480.0,132.0,1250.0,11.0,1.0,600.0,128.0,600000.0,4511.278195488721,50000.0,0.007751937984496124,0.6931471805599453,3.3314383390085567,-0.07630918228861328
graphics pro turbo,2024.0,480.0,320.0,1250.0,50.0,1.0,600.0,90.0,600000.0,1869.1588785046729,11764.70588235294,0.01098901098901099,0.6931471805599453,3.3314383390085567,-0.07630918228861328
graphics xpression,2024.0,480.0,320.0,1250.0,50.0,1.0,600.0,90.0,600000.0,1869.1588785046729,11764.70588235294,0.01098901098901099,0.6931471805599453,3.3314383390085567,-0.07630918228861328
